"Year","January","February","March","April","May","June","July","August","September","October","November","December"
1958,0.9,0.398,0.06,0.139,0.131,-0.374,0.013,-0.324,-0.291,0.083,0.138,0.159
1959,0.342,0.093,0.51,0.459,-0.013,0.065,0.076,-0.012,-0.163,-0.113,-0.371,0.12
1960,0.086,0.553,-1.084,-0.293,-0.505,-0.097,-0.19,-0.069,-0.013,0.191,-0.306,0.588
1961,0.3,0.439,0.156,0.252,0.236,0.161,-0.072,-0.02,0.132,-0.016,0.058,-0.188
1962,0.348,0.405,0.149,0.16,-0.245,-0.079,-0.164,-0.179,-0.123,0.16,0.128,0.25
1963,0.231,0.754,-0.265,-0.212,-0.333,-0.13,0.133,0.435,0.458,0.637,0.368,0.06
1964,0.187,-0.199,-0.534,-0.505,-0.466,-0.029,-0.06,-0.225,-0.519,-0.485,-0.182,-0.252
1965,0.214,-0.228,-0.187,-0.4,-0.173,-0.204,-0.307,-0.073,-0.393,0.223,-0.28,0.098
1966,-0.162,0.038,0.192,-0.203,-0.149,0.011,0.241,-0.119,0.047,-0.163,-0.154,-0.285
1967,0.086,-0.316,0.086,0.06,0.283,-0.323,0.007,-0.139,-0.021,0.534,0.051,0.24
1968,-0.281,-0.007,0.794,0.097,-0.351,-0.262,-0.41,-0.368,-0.544,0.189,-0.215,-0.42
1969,-0.66,-0.806,-0.253,0.209,0.015,-0.037,-0.149,-0.021,-0.071,0.22,0.3,0.541
1970,0.206,0.537,-0.052,0.217,-0.153,0.007,0.062,-0.202,0.198,0.102,-0.074,-0.153
1971,0.342,-0.355,-0.326,-0.038,-0.137,-0.385,-0.188,0.032,0.048,0.127,0.169,0.204
1972,-0.745,-0.665,-0.116,-0.017,-0.176,-0.002,-0.106,0.326,-0.166,0.063,-0.323,0.127
1973,0.41,0.654,0.515,0.612,0.435,0.356,0.112,0.019,0.065,0.349,0.112,0.194
1974,-0.344,-0.671,-0.157,0.003,-0.153,-0.082,-0.037,0.166,-0.324,-0.13,-0.242,-0.132
1975,0.441,0.186,0.367,0.246,0.43,0.079,0.007,-0.372,0.057,0.082,-0.189,0.048
1976,0.313,-0.142,-0.809,-0.082,-0.399,-0.401,-0.135,-0.328,-0.177,-0.719,-0.429,0.066
1977,-0.08,0.302,0.406,0.507,0.449,0.42,0.331,0.281,-0.202,-0.057,0.452,0.121
1978,0.149,0.271,0.302,0.47,0.057,-0.266,0.038,-0.54,-0.036,0.113,0.27,0.134
1979,0.13,-0.344,0.111,0.135,-0.184,-0.046,-0.242,0.01,0.181,0.33,0.213,0.97
1980,0.39,0.481,0.037,0.612,0.536,0.128,0.504,0.406,0.272,0.369,0.65,0.431
